Prénom,Nom,Département
Nordman,Polock,RH
Arjun,Singh,Services Généraux
Hélena,Ivanova,Services Généraux
Emma,Dupont,Ventes et Développement Commercial
Lucas,Martin,Ventes et Développement Commercial
Mélanie,Lefebvre,Ventes et Développement Commercial
Olga,Üt,Ventes et Développement Commercial
Olivia,Garcimor,Ventes et Développement Commercial
Ahmed,Khalid,R&D
Aisha,Abdullah,R&D
Aya,Patel,R&D
Chang,Li,R&D
Ibrahim,'Lebn''',R&D
Ines,Rex,R&D
Ivan,Petrov,R&D
Jamal,Nkrumah,R&D
Jean-pierre,Gadere,R&D
Juan,Hernandez,R&D
Katya,Ivanov,R&D
Liam,'O''Connor',R&D
Maria,Garcia-Lopez,R&D
Mia-Lyn,Nguyen,R&D
Natasha,Lereculey,R&D
Paul,Perrin-Girrard,R&D
Soffia,Itsch,R&D
Sofia,Rodriguez,R&D
Victoria,Perraud,R&D
Willy,Leroux,R&D
Xander,Bailly,R&D
Yolande,De Richemond,R&D
Youssef,El Amrani,R&D
Ziad,Provost,R&D
Alejandro,Gomez,R&D
Kai,Chen,R&D
Lupe,Da Silva Del Esperanza,R&D
Nina,Kova?evi?,R&D
Nora,Al-Hassan,R&D
Amelia,Smith,Services Généraux
Baptiste,Gros,Services Généraux
Charlotte-Léonie,Prevost,Services Généraux
Hiroto,Takahashi,Services Généraux
Isabella,Da Silva,Services Généraux
Jérômine,Perrot,Services Généraux
Julien,Marie,Services Généraux
Mohamed,Al-Amin,Services Généraux
Naomie,Lerocher,Services Généraux
Nathan,Le Roux,Services Généraux
Rémi,Deschamps,Direction Marketing
Sylvie,Charpentier,Direction Marketing
Tristan,Marie,Direction Marketing
Ulrich,Da Silva,Direction Marketing
Charles,Fernandez,Direction Marketing
Danielle,Carpentier,Direction Marketing
Édouard,Boulanger,Direction Marketing
Flore,Leclercq,Direction Marketing
Gaël,Du Garnier,Direction Marketing
Hortense,Morvan,Direction Marketing
Igor,Lapierre,Direction Marketing
Justine,Gallet,Direction Marketing
Kylian,Chauvin,Direction Marketing
Nina,Pichon,Direction Marketing
Olivier,Marechal,Direction Marketing
Paulette,Huet,Direction Marketing
Amaury,Meyer,Direction Marketing
Brigitte,Lucas,Direction Marketing
Vanessa,Boyer,Direction Marketing
Walter,Maillard,Direction Marketing
Xena,Leblanc,Direction Marketing
Zoel,Roger,Direction Marketing
Amélie,Le Fournil,Communication
Ariane,Kaine,Communication
Charlotte,Giroux,Communication
Elodie,Le Boucher,Communication
Felix,Hoffmann,Communication
Giovanni,Moretti,Communication
Jean,Maire,Communication
Jean-Henri,Lambert,Communication
Jean-Pascal,Millith,Communication
Luca,Rizzo,Communication
Marco,Ricci,Communication
Noémie,Pichonnet,Communication
Pauline,Blanc,Communication
Valérie,Houddin,Communication
Blanche,Renaud,RH
Joseph,Poirier,RH
Wendy,Fontaine,RH
Xenia,Lechevalier,RH
Yves,Colin,RH
Zacharie,Leclerc,RH
Adrian,Schultz,Communication
Alexandre,Chevalier,Communication
Carlos,Alvarez,Communication
Léa,Gagnon-Leclercq,Communication
Virginie,Perrin,Communication
Josepha,Fontainebleau,RH
Paule,Lacombe,RH
Sara,Lebrun,RH
Timothée,Guillot,RH
Uriel,Hubert,RH
Dmitri,Orlov,Ventes et Développement Commercial
Fatima,Zahra,Ventes et Développement Commercial
Luna,Garcchado,Ventes et Développement Commercial
Marc,Roussel,Ventes et Développement Commercial
Oliver,Johnson,Ventes et Développement Commercial
Alexandre,Rouxel,Ventes et Développement Commercial
Manon,Vincent,Ventes et Développement Commercial
Marie,Leroux,Ventes et Développement Commercial
Mathieu,Morel,Ventes et Développement Commercial
Raphaël,Lefebvre,Ventes et Développement Commercial
Estelle,Dubois--Melun,Direction Financière
Mathieu,Roux,Direction Financière
Romain,Gauthier,Direction Financière
